image_path,filename,subset,height,width,laplacian_var,tenengrad,brenner,rms_contrast,michelson,mean_brightness,immerkaer_noise,wavelet_noise,brisque,niqe,clip_iqa,quality_score
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\1.png,1.png,test_case_segmentation,512,512,248.07765197753906,4910.734588623047,0.002252199687063694,0.19683608412742615,1.0,0.5835561752319336,1.6650124922592033,0.00872105360031128,6.46600341796875,,0.22383767366409302,0.46617308701447224
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\10.png,10.png,test_case_segmentation,512,512,380.0234319045557,5535.256195068359,0.004001869820058346,0.17923930287361145,1.0,0.5251904129981995,1.9964283910636775,0.008721055462956429,1.17547607421875,,0.251132607460022,0.48823776753652687
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\100.png,100.png,test_case_segmentation,512,512,583.2784072188515,3831.077682495117,0.0020740311592817307,0.25315040349960327,1.0,0.54355788230896,1.2570646031755945,0.005814031697809696,15.74676513671875,,0.2607714831829071,0.5333717759003299
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\101.png,101.png,test_case_segmentation,512,512,124.92398842737019,2367.3333435058594,0.0014423166867345572,0.1457100361585617,1.0,0.36416560411453247,1.1883403279054185,0.005814039148390293,10.71209716796875,,0.20366205275058746,0.3784835668791016
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\102.png,102.png,test_case_segmentation,512,512,107.1286924907472,1772.2216720581055,0.0010610617464408278,0.15533670783042908,1.0,0.5496207475662231,1.3122382123949412,0.00581407779827714,14.32928466796875,,0.15674418210983276,0.3423103581313851
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\103.png,103.png,test_case_segmentation,512,512,386.7921371459961,5142.461929321289,0.003612891770899296,0.18764902651309967,1.0,0.5403004288673401,2.22574006534552,0.011628061532974243,1.33026123046875,,0.38818103075027466,0.5069079344317103
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\104.png,104.png,test_case_segmentation,512,512,336.79779285121185,3592.4569702148438,0.0014641155721619725,0.15372516214847565,1.0,0.5194932818412781,1.3381742498578426,0.00581404659897089,11.65936279296875,,0.25050556659698486,0.4364248232155119
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\105.png,105.png,test_case_segmentation,512,512,28.393147778333514,1032.5464782714844,0.00041741985478438437,0.17579011619091034,1.0,0.516596257686615,0.794223385940128,0.005814015865325928,20.27508544921875,,0.17867861688137054,0.3477601099344239
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\106.png,106.png,test_case_segmentation,512,512,243.25933837890625,3998.1744079589844,0.0019181292736902833,0.21359403431415558,1.0,0.456393837928772,1.2955908019422864,0.00581404659897089,6.34295654296875,,0.22176650166511536,0.4793372059380255
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\107.png,107.png,test_case_segmentation,512,512,271.2605889834813,2867.1139221191406,0.0013982024975121021,0.180695042014122,1.0,0.5670835375785828,1.7291639297119537,0.008721054531633854,0.45037841796875,,0.1884959191083908,0.42542546174032525
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\108.png,108.png,test_case_segmentation,512,512,173.04005938372575,2958.7615509033203,0.001483679749071598,0.23081426322460175,1.0,0.4848894774913788,0.9627518141647744,0.005814031697809696,23.82928466796875,,0.22050023078918457,0.4296396203233262
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\109.png,109.png,test_case_segmentation,512,512,432.10333382844686,4468.441497802734,0.0034453689586371183,0.18397709727287292,1.0,0.5144718289375305,2.192112762027774,0.011628061532974243,3.56561279296875,,0.3366090953350067,0.4812275703273023
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\11.png,11.png,test_case_segmentation,512,512,67.74451499721908,1401.0318069458008,0.0007077399641275406,0.16928355395793915,1.0,0.5278482437133789,1.0748361327438067,0.00581404659897089,10.43035888671875,,0.1569879949092865,0.3629891513633561
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\110.png,110.png,test_case_segmentation,512,512,62.59080075773818,3514.4541931152344,0.0017938388045877218,0.2337767630815506,1.0,0.4693552851676941,0.9519822751532399,0.005814031697809696,24.49920654296875,,0.22415544092655182,0.42626343324533295
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\111.png,111.png,test_case_segmentation,512,512,282.0828545435652,2863.8807067871094,0.0017247878713533282,0.19432754814624786,1.0,0.575756847858429,1.6420021394062212,0.008721023797988892,1.65203857421875,,0.16917842626571655,0.4322778889248478
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\112.png,112.png,test_case_segmentation,512,512,279.64779850303603,1814.5713806152344,0.001139889471232891,0.12874676287174225,1.0,0.37026891112327576,1.6402112317257054,0.00581404659897089,5.10955810546875,,0.23034371435642242,0.3758279876406159
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\113.png,113.png,test_case_segmentation,512,512,314.2333054384071,2726.3739013671875,0.001918927882798016,0.17985345423221588,1.0,0.5651175379753113,1.8376351121229848,0.008721054531633854,2.76580810546875,,0.2858335077762604,0.4391148112379339
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\114.png,114.png,test_case_segmentation,512,512,442.6624828152707,2849.814407348633,0.001846960629336536,0.17095261812210083,1.0,0.43788614869117737,1.4063732992880822,0.00581404659897089,13.25506591796875,,0.28223270177841187,0.4472916956751016
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\115.png,115.png,test_case_segmentation,512,512,195.02585770234873,1880.911476135254,0.0008245429489761591,0.17208443582057953,1.0,0.5012539029121399,2.0173033073594877,0.008721055462956429,0.47479248046875,,0.14959603548049927,0.36513203683803486
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\116.png,116.png,test_case_segmentation,512,512,79.93858446097875,1929.5982055664062,0.0004279260174371302,0.22656555473804474,1.0,0.464032918214798,1.048998073189884,0.005814031697809696,20.55828857421875,,0.19915631413459778,0.3938097957224504
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\117.png,117.png,test_case_segmentation,512,512,61.367326551815495,1253.7384338378906,0.000654151604976505,0.2095465064048767,1.0,0.45995908975601196,0.9994694371034292,0.005814046133309603,10.85565185546875,,0.1654711365699768,0.38977935154818194
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\118.png,118.png,test_case_segmentation,512,512,56.74734213179909,2507.7178344726562,0.0014056331710889935,0.21432733535766602,1.0,0.4964434504508972,1.0105280912562131,0.005814031697809696,22.30682373046875,,0.16529197990894318,0.3828268024459171
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\119.png,119.png,test_case_segmentation,512,512,356.9787680782465,2721.9080123901367,0.001811220427043736,0.16258959472179413,1.0,0.5477346181869507,1.9105411166722857,0.008721055462956429,3.54168701171875,,0.2577972114086151,0.42102739444955
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\12.png,12.png,test_case_segmentation,512,512,61.099342732690275,2153.545181274414,0.0012653784360736609,0.22938969731330872,1.0,0.46485158801078796,0.9816262143026628,0.005814031697809696,25.26922607421875,,0.1290610432624817,0.3707101513475866
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\120.png,120.png,test_case_segmentation,512,512,226.05184936523438,4271.238845825195,0.0027595858555287123,0.1811799257993698,1.0,0.44083356857299805,1.1416948122553103,0.005814046133309603,16.12615966796875,,0.28356823325157166,0.45755255559821634
C:\Users\theop\Documents\Telecom_Paris\2A\cours\p4\IMA\IM_06\projet_IM06\arcade_challenge_datasets\dataset_final_phase\test_case_segmentation\images\121.png,121.png,test_case_segmentation,512,512,154.81075434101513,1911.516357421875,0.0008415981428697705,0.18484310805797577,1.0,0.541233241558075,1.8078401906220205,0.008721054531633854,2.52947998046875,,0.1513317972421646,0.3745046021979801
